City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,El Bosque,MX,17.0667,-92.7333,69.76,59,93,3.42,overcast clouds
211,Den Helder,NL,52.9599,4.7593,57.97,74,20,18.01,few clouds
212,Aitape,PG,-3.1374,142.3475,77.22,88,100,3.8,overcast clouds
213,Aksu,CN,41.1231,80.2644,77.56,18,2,7.96,clear sky
214,Pevek,RU,69.7008,170.3133,27.79,84,100,10.47,overcast clouds
215,Zhytomyr,UA,50.2649,28.6767,52.38,93,100,17.31,moderate rain
216,Ngunguru,NZ,-35.6167,174.5,60.94,61,100,12.5,overcast clouds
217,Kjollefjord,NO,70.9457,27.3465,39.79,93,100,21.77,overcast clouds
218,Makakilo City,US,21.3469,-158.0858,79.2,57,20,10.36,few clouds
219,Rawson,AR,-43.3002,-65.1023,48.33,51,8,8.81,clear sky
220,Fortuna,US,40.5982,-124.1573,59.94,83,40,12.66,scattered clouds
221,Maniitsoq,GL,65.4167,-52.9,28.96,89,100,9.01,overcast clouds
222,Luderitz,NA,-26.6481,15.1594,56.19,90,4,6.04,clear sky
223,Khatanga,RU,71.9667,102.5,30.09,89,99,2.08,overcast clouds
224,Nishihara,JP,26.1842,127.7558,71.65,97,100,8.05,overcast clouds
225,Klaksvik,FO,62.2266,-6.589,45.52,87,100,23.94,overcast clouds
226,Monchegorsk,RU,67.9397,32.8739,36.88,98,100,4.14,light rain
227,Pierre,US,44.3683,-100.351,81.86,29,0,17.27,clear sky
228,Arauco,CL,-37.2463,-73.3175,50.99,54,100,2.59,overcast clouds
229,Luxor,EG,25.6989,32.6421,95.05,15,0,5.75,clear sky
230,Kabompo,ZM,-13.5927,24.2008,59.58,47,0,4.52,clear sky
231,Cabo San Lucas,MX,22.8909,-109.9124,96.1,60,6,8.59,clear sky
232,Andros Town,BS,24.7,-77.7667,85.96,66,23,13.78,few clouds
233,Nkoteng,CM,4.5167,12.0333,69.64,97,56,4.0,light rain
234,Kupino,RU,54.3663,77.2981,62.44,64,100,15.21,overcast clouds
235,Ponta Do Sol,PT,32.6667,-17.1,71.01,70,74,6.6,broken clouds
236,Codajas,BR,-3.8367,-62.0569,80.87,78,99,2.48,overcast clouds
237,Tairua,NZ,-37.0167,175.85,51.49,83,6,4.12,clear sky
238,Charlottesville,US,38.0293,-78.4767,77.07,88,100,6.91,overcast clouds
